date,close,v,RSI,OT
2008-10-08,78.6,3.57,41.73553719008264,1
2008-10-09,77.1,4.11,27.791116446578613,0
2008-10-10,75.6,6.52,30.846102598267805,0
2008-10-13,78.9,3.65,38.981998758535084,1
2008-10-14,79.16,2.86,32.160110420979976,1
2008-10-15,75.92,1.53,29.56852791878173,1
2008-10-16,75.3,2.02,29.271356783919583,1
2008-10-17,79.52,1.89,36.38418079096045,0
2008-10-20,82.58,1.95,42.849462365591386,0
2008-10-21,81.2,1.61,35.645252984650384,0
2008-10-22,78.97,1.38,31.956224350205204,0
2008-10-23,77.0,1.99,28.768577494692156,0
2008-10-24,74.26,2.45,30.77796706416809,1
2008-10-27,70.4,2.76,32.08999407933689,1
2008-10-28,70.2,3.29,36.037234042553216,1
2008-10-29,73.9,2.01,45.04337050805454,1
2008-10-30,74.6,1.87,48.41168996188056,1
2008-10-31,76.8,1.93,46.5437788018433,0
2008-11-03,77.2,1.66,46.78899082568808,0
2008-11-04,79.0,1.24,55.29573590096286,0
2008-11-05,77.8,1.15,54.21443020903574,0
2008-11-06,74.0,1.74,40.5608755129959,0
2008-11-07,73.72,2.19,33.25774754346183,0
2008-11-10,70.78,1.94,31.40613847251963,0
2008-11-11,69.2,3.11,32.15199123127512,0
2008-11-12,67.2,2.6,32.11678832116789,0
2008-11-13,68.5,4.31,38.90600924499228,0
2008-11-14,67.78,2.2,44.25942156003504,0
2008-11-17,62.8,2.09,36.59420289855071,0
2008-11-18,62.5,3.14,26.446280991735502,0
2008-11-19,55.66,5.48,18.78707976268953,1
2008-11-20,52.4,9.16,11.146496815286625,1
2008-11-21,58.28,4.65,24.34924078091106,1
2008-11-24,59.0,5.74,22.067039106145245,1
2008-11-25,64.28,2.68,33.04914744232698,1
2008-11-26,67.2,2.5,41.28205128205129,1
2008-11-28,69.98,1.2,45.49397590361446,0
2008-12-01,65.6,1.99,43.968327899394495,1
2008-12-02,66.72,2.22,47.08097928436911,1
2008-12-03,67.51,2.51,50.37557547855585,1
2008-12-04,65.6,1.41,46.53772683858644,1
2008-12-05,67.2,2.07,49.32179607109448,0
2008-12-08,70.79,2.98,59.65675610345661,0
2008-12-09,70.86,2.08,60.16042780748661,0
2008-12-10,68.9,1.71,68.25703254274683,0
2008-12-11,66.8,1.66,70.51282051282048,0
2008-12-12,64.84,1.93,60.51956382296343,1
2008-12-15,63.32,2.08,56.754221388367725,1
2008-12-16,66.56,2.16,53.80761523046092,0
2008-12-17,66.0,1.24,47.82451051486584,0
2008-12-18,65.6,1.32,41.3095238095238,0
2008-12-19,64.24,1.22,46.93417493237151,0
2008-12-22,63.98,1.2,43.57410881801125,0
2008-12-23,62.86,1.17,39.26096997690531,0
2008-12-24,62.3,0.49,41.87192118226602,1
2008-12-26,62.26,0.52,36.81963713980789,1
2008-12-29,61.76,1.27,21.150159744408924,1
2008-12-30,61.12,1.91,19.97533908754625,1
2008-12-31,64.28,2.0,36.73938002296211,0
2009-01-02,66.46,1.35,49.02857142857143,0
2009-01-05,66.98,1.43,56.662515566625146,0
2009-01-06,66.66,1.1,61.23822341857332,0
2009-01-07,63.8,1.32,40.469613259668506,1
2009-01-08,65.34,1.37,47.8654592496766,0
2009-01-09,62.82,1.13,42.09328782707625,0
2009-01-12,62.78,1.09,45.51045510455107,0
2009-01-13,63.96,1.19,49.94179278230502,0
2009-01-14,62.0,1.05,47.61376248612653,0
2009-01-15,61.86,2.36,48.75000000000001,0
2009-01-16,60.5,1.24,45.34883720930234,0
2009-01-20,57.66,2.83,40.35747883349013,0
2009-01-21,58.78,1.6,44.61821527138916,0
2009-01-22,59.16,1.64,36.49789029535865,1
2009-01-23,56.98,2.41,25.000000000000043,1
2009-01-26,56.0,1.59,21.730175077239977,1
2009-01-27,57.11,1.02,26.37308263236024,1
2009-01-28,59.88,1.7,40.25844930417497,0
2009-01-29,58.0,1.61,32.06256109481916,1
2009-01-30,59.78,1.66,42.2920892494929,0
2009-02-02,59.08,0.99,40.9224730127576,0
2009-02-03,59.6,1.04,38.94523326572009,0
2009-02-04,59.88,0.9,44.124168514412425,0
2009-02-05,57.42,2.31,39.09626719056976,1
2009-02-06,58.2,1.57,44.18604651162792,0
2009-02-09,58.52,1.03,52.49130938586328,0
2009-02-10,56.66,2.15,44.1111111111111,0
2009-02-11,57.9,1.24,46.65959703075293,0
2009-02-12,57.93,1.2,52.84260921603831,0
2009-02-13,57.2,0.86,53.64520048602674,0
2009-02-17,55.4,2.01,45.01457725947522,0
2009-02-18,52.3,3.77,28.31807780320368,0
