Date,Close,Volume,RSI
,BEN,BEN,
2008-01-22,16.46427345275879,9746700,20.056304368939692
2008-01-23,17.144508361816406,11303700,27.020098276041466
2008-01-24,18.036293029785156,10784700,36.30348510725856
2008-01-25,17.94329261779785,11354400,39.87408960980853
2008-01-28,18.27337646484375,4602600,40.01934036515175
2008-01-29,18.44845199584961,4526400,47.2110389967254
2008-01-30,18.43203353881836,7166700,48.74791785251586
2008-01-31,18.98278045654297,7045200,47.32621008575771
2008-02-01,19.449655532836914,4550400,56.92589765558065
2008-02-04,19.13050079345703,2520000,54.88220554991869
2008-02-05,18.114713668823242,5038200,51.704555101412495
2008-02-06,17.75544548034668,4087200,54.336082285377145
2008-02-07,18.151185989379883,3672000,67.70596274453496
2008-02-08,17.813800811767578,4072800,61.464295574219
2008-02-11,17.76091957092285,6257100,61.405229438019624
2008-02-12,17.722618103027344,4573500,55.73236843180302
2008-02-13,18.080059051513672,5290500,50.485408961174905
2008-02-14,17.76639175415039,3803400,48.129547967201596
2008-02-15,17.675207138061523,3866100,43.338763771683695
2008-02-19,17.649669647216797,5051100,40.798263677407505
2008-02-20,17.8046817779541,5714100,42.99671631583497
2008-02-21,17.512895584106445,3602100,32.584394083272954
2008-02-22,17.715322494506836,5267100,28.077353341112712
2008-02-25,18.127473831176758,5064900,37.61257918880326
2008-02-26,18.379152297973633,4562100,54.0256004051094
2008-02-27,18.680051803588867,4730700,64.33012376714701
2008-02-28,18.061826705932617,4159200,48.7044038653841
2008-02-29,17.210161209106445,5505300,42.38378498314706
2008-03-03,17.16092300415039,6922200,42.42278403810828
2008-03-04,17.1372127532959,6128100,42.57970648690912
2008-03-05,17.21381187438965,6419400,38.17823837757441
2008-03-06,16.44968605041504,5119500,33.99819289983019
2008-03-07,16.363975524902344,5259900,34.04348853413623
2008-03-10,15.906216621398926,6859800,30.803152992993276
2008-03-11,17.22657585144043,8400000,44.934525228101286
2008-03-12,17.00590705871582,5838600,45.50160654491472
2008-03-13,17.020496368408203,7630200,43.62238252434527
2008-03-14,16.49527931213379,6617400,35.32316848324773
2008-03-17,16.312904357910156,8133600,31.185627348954824
2008-03-18,17.45818328857422,9124800,40.357001575728596
2008-03-19,16.98037338256836,5459100,41.27171322836682
2008-03-20,18.080059051513672,6835800,56.75058776443479
2008-03-24,18.729297637939453,6957300,61.13407880081037
2008-03-25,18.9517879486084,5304000,62.528296519873734
2008-03-26,18.350631713867188,6247200,57.31877341679388
2008-03-27,18.173397064208984,6100200,62.00427239620803
2008-03-28,17.289024353027344,5794200,55.797327352145984
2008-03-31,17.722078323364258,5216700,61.41544465682424
2008-04-01,19.108928680419922,5208300,61.73533539399368
2008-04-02,18.78550910949707,4756200,60.954400808514954
2008-04-03,18.88966178894043,3541500,61.3802303914248
2008-04-04,18.49315643310547,2958000,62.35755862172785
2008-04-07,18.546144485473633,4172400,64.03805375666226
2008-04-08,19.004777908325195,5401800,60.64035192927821
2008-04-09,18.19349479675293,5235900,57.979944027158844
2008-04-10,18.4310359954834,5425800,52.604103720916406
2008-04-11,17.870084762573242,5143500,43.54036755842742
2008-04-14,17.585037231445312,3708600,39.8204080241047
2008-04-15,17.923067092895508,3741900,46.685578309786436
2008-04-16,18.88783836364746,4761900,54.935622770014234
2008-04-17,18.685012817382812,5602500,60.6465615053851
2008-04-18,18.264759063720703,8769000,54.146872701716255
2008-04-21,17.94133949279785,6319500,39.34646824492126
2008-04-22,17.325572967529297,7464600,37.3536610471143
