date,close,v,RSI,MA5,MA20,MA50,MA200,OT
2014-01-01,740.3,0.01,50.62462819750148,-16.199999999999932,-17.204999999999927,20.646000000000072,-455.9955,1
2014-01-02,775.0,0.13,71.23053551082415,-36.10000000000002,-58.180000000000064,-5.557999999999993,-487.3195,1
2014-01-04,801.8,0.01,81.64794007490636,-30.41999999999996,-94.80999999999996,-16.193999999999846,-507.059,1
2014-01-05,904.0,0.02,85.79366996859143,-97.36,-195.0550000000001,-108.31399999999996,-605.2755,0
2014-01-06,934.5,0.1,86.32558139534882,-89.0200000000001,-214.07000000000005,-128.83000000000004,-631.6445,0
2014-01-07,791.0,0.1,63.56268011527377,57.67999999999995,-67.61500000000001,21.024000000000115,-484.746,1
2014-01-08,828.5,0.14,65.46602936155685,23.46000000000004,-91.26,-11.610000000000014,-518.6510000000001,1
2014-01-09,850.0,0.29,60.68791294209094,11.600000000000025,-105.36,-28.090000000000032,-536.442,0
2014-01-10,834.7,0.0,61.37971698113208,13.039999999999964,-78.27500000000009,-7.096000000000117,-517.508,0
2014-01-11,896.9,0.01,67.70927499548003,-56.67999999999995,-126.015,-65.35800000000006,-575.7339999999999,0
2014-01-12,888.1,0.0,65.84032081662414,-28.46000000000004,-103.91500000000008,-53.996000000000095,-563.01,0
2014-01-13,818.4,0.06,56.81894524689284,39.22000000000014,-25.31500000000005,15.228000000000064,-489.738,0
2014-01-14,826.9,0.14,58.34454912516824,26.100000000000023,-24.83500000000004,6.991999999999962,-494.612,0
2014-01-15,839.7,0.05,58.35856037672386,14.299999999999956,-32.65000000000009,-4.670000000000073,-503.687,0
2014-01-16,824.0,0.2,54.25642807505211,15.420000000000073,-11.694999999999936,10.518000000000027,-484.342,0
2014-01-17,789.0,0.07,47.98605056669573,30.600000000000023,27.70500000000004,42.33800000000008,-445.8845,1
2014-01-18,800.0,0.15,49.843260188087775,15.91999999999996,20.99000000000001,27.138000000000037,-453.3075,1
2014-01-19,830.0,0.14,42.62948207171315,-13.460000000000036,-4.369999999999891,-8.41199999999992,-479.596,0
2014-01-20,823.4,0.15,38.381091821794605,-10.120000000000005,7.014999999999986,-7.591999999999984,-469.2635,0
2014-01-21,810.0,0.37,52.72988505747127,0.4800000000000182,23.899999999999977,2.9080000000000155,-452.20200000000006,1
2014-01-22,807.0,0.0,46.57097288676236,7.080000000000041,28.5,2.0860000000000127,-445.4985,1
2014-01-23,816.2,0.26,44.389110225763616,1.1200000000000043,19.50499999999988,-11.75,-450.95150000000007,0
2014-01-24,781.9,0.36,41.75515302935664,25.800000000000068,52.81000000000006,15.288000000000013,-413.1045,1
2014-01-25,810.0,0.23,34.813002446696984,-4.980000000000018,20.00999999999999,-17.223999999999933,-437.5275,0
2014-01-26,809.7,0.15,35.87896253602307,-4.740000000000009,14.07000000000005,-18.18200000000013,-433.55000000000007,0
2014-01-27,760.3,0.74,38.70967741935485,35.32000000000005,61.93500000000006,30.412000000000035,-380.771,1
2014-01-28,795.0,0.56,44.37389770723105,-3.6200000000001182,25.56000000000006,-2.9880000000000564,-411.952,1
2014-01-29,800.0,0.13,42.80014508523757,-5.0,18.06000000000006,-10.70399999999995,-413.3945,1
2014-01-30,803.9,0.27,46.19173929518757,-10.120000000000005,12.620000000000005,-18.98599999999988,-413.732,1
