"date","close","시가","고가","저가","v","변동 %"
"2025-05-13","511.88","515.64","515.75","511.80","4.50","-0.47%"
"2025-05-12","514.30","520.30","520.30","510.25","6.37","0.11%"
"2025-05-09","513.74","514.25","515.91","510.25","3.62","0.10%"
"2025-05-08","513.25","520.98","521.26","513.04","5.02","-0.96%"
"2025-05-07","518.22","515.02","520.25","513.00","5.58","1.15%"
"2025-05-06","512.33","509.57","515.75","507.99","6.09","0.04%"
"2025-05-05","512.15","520.08","521.18","502.80","16.38","-5.12%"
"2025-05-02","539.80","536.75","542.07","535.26","4.95","1.80%"
"2025-05-01","530.23","531.00","533.27","528.30","4.69","-0.57%"
"2025-04-30","533.25","531.51","535.72","524.00","5.25","-0.25%"
"2025-04-29","534.57","531.00","535.34","528.29","3.18","0.68%"
"2025-04-28","530.94","533.63","536.82","526.58","4.24","0.00%"
"2025-04-25","530.96","531.75","532.44","526.79","2.74","-0.13%"
"2025-04-24","531.64","526.81","533.13","523.16","3.17","0.92%"
"2025-04-23","526.81","527.50","532.27","523.89","4.29","1.16%"
"2025-04-22","520.79","514.23","522.22","511.65","4.77","2.74%"
"2025-04-21","506.92","517.53","518.67","498.08","4.91","-2.18%"
"2025-04-17","518.21","518.90","523.88","514.57","5.32","0.34%"
"2025-04-16","516.45","529.30","530.13","512.89","5.89","-2.22%"
"2025-04-15","528.17","532.62","535.92","527.36","4.33","-0.25%"
"2025-04-14","529.52","531.00","536.52","526.98","5.51","1.03%"
"2025-04-11","524.11","515.00","526.58","510.77","6.23","1.61%"
"2025-04-10","515.81","518.30","521.41","498.61","7.48","-1.07%"
"2025-04-09","521.41","490.00","523.93","485.56","10.15","5.84%"
"2025-04-08","492.64","509.02","516.00","484.19","9.47","0.46%"
"2025-04-07","490.38","467.42","505.85","462.10","12.75","-0.64%"
"2025-04-04","493.54","519.00","521.00","492.98","12.61","-6.91%"
"2025-04-03","530.16","527.62","538.80","525.14","6.41","-1.41%"
"2025-04-02","537.72","532.13","539.00","530.82","4.08","0.89%"
"2025-04-01","532.99","531.88","536.41","527.50","4.13","0.08%"
"2025-03-31","532.58","521.40","536.52","519.00","7.14","1.19%"
"2025-03-28","526.31","535.35","536.00","524.68","5.32","-1.54%"
"2025-03-27","534.52","533.25","537.38","529.35","5.15","0.25%"
"2025-03-26","533.21","531.00","537.63","530.98","5.01","0.82%"
"2025-03-25","528.87","527.18","533.29","525.88","3.96","0.57%"
"2025-03-24","525.85","523.10","527.30","521.48","4.86","0.75%"
"2025-03-21","521.91","528.31","528.96","520.73","8.55","-1.29%"
"2025-03-20","528.73","524.00","530.61","522.67","4.07","0.66%"
"2025-03-19","525.27","525.69","526.71","520.66","3.80","0.41%"
"2025-03-18","523.14","525.45","528.38","521.42","4.86","0.02%"
"2025-03-17","523.01","514.62","524.71","513.21","5.34","1.63%"
"2025-03-14","514.60","506.95","515.84","502.92","5.78","2.05%"
"2025-03-13","504.25","496.46","507.40","494.75","5.10","1.68%"
"2025-03-12","495.94","497.60","498.32","488.75","3.87","-0.06%"
"2025-03-11","496.25","496.00","499.15","491.31","5.36","-0.17%"
"2025-03-10","497.10","490.00","500.45","490.00","6.26","0.30%"
"2025-03-07","495.62","496.29","498.27","490.11","3.84","-0.45%"
"2025-03-06","497.84","496.83","499.10","491.63","3.99","-0.13%"
"2025-03-05","498.50","496.00","500.93","492.32","4.72","0.53%"
"2025-03-04","495.86","507.27","508.73","493.61","6.13","-2.79%"
"2025-03-03","510.08","516.22","518.77","506.48","5.11","-0.73%"
"2025-02-28","513.83","507.46","515.37","504.33","6.85","2.27%"
"2025-02-27","502.41","496.45","504.95","495.61","4.51","1.68%"
"2025-02-26","494.10","499.11","499.90","493.05","3.54","-1.14%"
"2025-02-25","499.82","503.15","507.00","491.90","6.76","0.28%"
"2025-02-24","498.42","483.50","503.96","483.24","9.86","4.11%"
"2025-02-21","478.74","480.95","483.64","477.74","4.09","-0.64%"
"2025-02-20","481.80","484.13","484.20","478.14","2.65","-0.41%"
"2025-02-19","483.77","482.82","484.72","480.68","2.44","0.20%"
"2025-02-18","482.82","480.40","484.06","477.63","3.35","0.67%"
"2025-02-14","479.59","481.47","484.55","479.45","2.83","-0.19%"
"2025-02-13","480.49","471.55","481.19","471.20","3.27","1.86%"
"2025-02-12","471.73","470.44","472.15","468.09","3.30","-0.19%"
"2025-02-11","472.61","470.05","473.05","466.71","2.32","0.52%"
"2025-02-10","470.17","473.96","474.20","469.37","2.91","-0.54%"
"2025-02-07","472.74","477.41","478.25","472.34","3.21","-0.94%"
"2025-02-06","477.22","475.46","478.00","473.28","3.83","0.74%"
"2025-02-05","473.73","469.81","474.24","468.89","3.78","1.33%"
"2025-02-04","467.49","464.94","467.91","462.70","3.24","0.62%"
"2025-02-03","464.61","461.30","466.74","454.60","4.23","-0.87%"
"2025-01-31","468.67","471.84","472.55","467.01","5.44","-0.78%"
"2025-01-30","472.35","472.20","474.06","469.15","2.55","0.66%"
"2025-01-29","469.26","469.88","473.92","468.00","2.52","-0.15%"
"2025-01-28","469.97","473.93","473.93","469.30","3.26","-1.00%"
"2025-01-27","474.70","464.30","474.93","464.30","4.54","2.48%"
"2025-01-24","463.19","459.20","463.81","457.08","3.07","0.73%"
"2025-01-23","459.83","461.68","464.76","458.00","4.42","-0.15%"
"2025-01-22","460.51","468.59","468.89","455.28","5.84","-1.72%"
"2025-01-21","468.57","471.00","473.17","467.72","4.91","0.13%"
"2025-01-17","467.95","464.71","470.18","462.45","6.47","1.11%"
"2025-01-16","462.81","458.93","462.96","458.30","3.48","0.94%"
"2025-01-15","458.51","455.55","459.09","453.27","4.72","1.88%"
"2025-01-14","450.03","445.50","450.30","443.92","4.06","1.38%"
"2025-01-13","443.91","442.04","445.00","441.15","3.64","0.28%"
"2025-01-10","442.66","452.66","453.00","440.10","5.47","-2.03%"
"2025-01-08","451.84","453.63","454.00","449.63","3.93","-0.24%"
"2025-01-07","452.92","452.80","456.52","451.10","3.51","0.33%"
"2025-01-06","451.41","453.85","456.24","450.57","4.07","-0.47%"
"2025-01-03","453.56","452.53","454.53","450.12","2.89","0.55%"
"2025-01-02","451.10","455.96","456.89","450.03","3.75","-0.48%"
"2024-12-31","453.28","452.20","454.33","451.11","3.38","0.25%"
"2024-12-30","452.16","454.24","454.69","449.18","2.83","-0.95%"
"2024-12-27","456.51","457.30","461.13","454.48","3.24","-0.56%"
"2024-12-26","459.08","457.27","459.48","455.80","2.16","0.09%"
"2024-12-24","458.66","455.41","458.99","454.07","1.76","0.95%"
"2024-12-23","454.35","453.19","454.55","449.82","3.84","0.25%"
"2024-12-20","453.20","449.11","458.65","447.19","12.94","0.86%"
"2024-12-19","449.34","451.73","453.80","448.89","4.65","0.62%"
"2024-12-18","446.59","457.06","458.73","446.09","4.36","-1.99%"
"2024-12-17","455.66","454.70","456.62","452.06","5.06","0.10%"
"2024-12-16","455.20","459.17","460.42","454.58","4.51","-0.59%"
"2024-12-13","457.90","460.51","460.51","457.01","3.47","-0.16%"
"2024-12-12","458.63","462.16","463.57","458.08","2.57","-0.60%"
"2024-12-11","461.39","463.33","465.48","458.77","3.88","-0.24%"
"2024-12-10","462.49","464.42","464.99","459.50","3.65","-0.30%"
"2024-12-09","463.87","470.60","471.70","463.42","3.75","-1.41%"
"2024-12-06","470.50","470.58","472.08","467.82","3.27","-0.01%"
"2024-12-05","470.57","468.78","472.74","468.72","3.32","0.48%"
"2024-12-04","468.32","471.09","471.34","466.50","3.94","-0.40%"
"2024-12-03","470.19","478.16","478.30","468.80","4.93","-1.50%"
"2024-12-02","477.33","484.80","485.09","474.75","5.03","-1.18%"
"2024-11-29","483.02","485.37","486.01","482.05","2.97","-0.01%"
"2024-11-27","483.08","481.00","491.67","480.87","5.36","0.94%"
"2024-11-26","478.56","478.20","479.40","472.85","3.33","0.24%"
"2024-11-25","477.43","479.13","482.50","476.79","5.25","0.18%"
"2024-11-22","476.57","472.27","477.44","471.61","3.89","0.96%"
"2024-11-21","472.06","469.45","474.66","467.00","4.12","0.69%"
"2024-11-20","468.83","470.00","470.61","466.11","3.02","-0.01%"
"2024-11-19","468.86","470.77","470.77","465.01","3.66","-0.71%"
"2024-11-18","472.20","470.98","472.67","468.36","3.36","0.41%"
"2024-11-15","470.28","466.74","472.26","465.19","5.82","0.55%"
"2024-11-14","467.70","468.81","469.45","466.00","3.78","-0.09%"
