Symbol
AAPL
ABBNY
ABBV
AEP
AMGN
AMZN
BA
BABA
BAC
BCH
BHP
BP
BRK-A
BSAC
BUD
C
CAT
CHTR
CMCSA
CODI
CSCO
CVX
D
DHR
DIS
DUK
EXC
GD
GE
GOOG
HD
HON
HSBC
IEP
INTC
JNJ
JPM
KO
LMT
MA
MCD
MDT
MMM
MO
MRK
MSFT
NEE
NGG
NVS
ORCL
PCG
PEP
PFE
PG
PM
PPL
REX
SLB
SNY
SO
SPLP
SRE
T
TM
TSM
UL
UNH
UPS
V
VZ
WFC
WMT
XOM
