date,close,v,RSI
2008-01-22,5.56,2430.0,22.222222222222214
2008-01-23,4.97,3370.0,18.0064308681672
2008-01-24,4.84,2009.9999999999998,17.28395061728395
2008-01-25,4.64,1550.0,19.24398625429552
2008-01-28,4.64,1470.0,19.858156028368796
2008-01-29,4.7,1100.0,23.308270676691734
2008-01-30,4.72,1240.0,14.644351464435132
2008-01-31,4.83,1350.0,18.775510204081627
2008-02-01,4.78,1010.0,19.913419913419915
2008-02-04,4.7,899.23,11.467889908256879
2008-02-05,4.62,1140.0,13.020833333333329
2008-02-06,4.36,1570.0,13.586956521739125
2008-02-07,4.33,2080.0,10.989010989010993
2008-02-08,4.48,1360.0,17.34693877551024
2008-02-11,4.62,1200.0,25.263157894736864
2008-02-12,4.46,1230.0,32.653061224489804
2008-02-13,4.62,968.53,42.66666666666668
2008-02-14,4.55,954.26,46.7153284671533
2008-02-15,4.45,901.3,43.537414965986414
2008-02-19,4.36,1010.0,38.66666666666667
2008-02-20,4.42,967.44,40.25974025974027
2008-02-21,4.34,938.12,33.774834437086085
2008-02-22,4.27,1530.0,33.333333333333314
2008-02-25,4.28,1260.0,35.616438356164394
2008-02-26,4.26,1500.0,37.14285714285714
2008-02-27,4.39,1480.0,51.18110236220469
2008-02-28,4.64,1620.0,60.40268456375837
2008-02-29,4.46,1260.0,49.342105263157876
2008-03-03,4.35,1590.0,40.93959731543623
2008-03-04,4.45,1790.0,49.65034965034966
2008-03-05,4.45,1220.0,43.30708661417324
2008-03-06,4.32,1470.0,41.35338345864664
2008-03-07,4.37,1230.0,46.875
2008-03-10,4.27,1000.0,46.51162790697671
2008-03-11,4.55,1170.0,54.304635761589395
2008-03-12,4.5,1060.0,55.4054054054054
2008-03-13,4.57,1260.0,60.135135135135144
2008-03-14,4.52,1160.0,57.89473684210523
2008-03-17,4.53,1070.0,58.94039735099338
2008-03-18,4.74,1210.0,61.0062893081761
2008-03-19,4.63,1010.0,49.65517241379311
2008-03-20,4.76,908.79,60.71428571428568
2008-03-24,4.98,1070.0,70.86092715231786
2008-03-25,5.03,1050.0,69.8630136986301
2008-03-26,5.18,1180.0,72.6708074534161
2008-03-27,5.01,999.83,70.90909090909086
2008-03-28,5.11,715.32,71.76470588235291
2008-03-31,5.12,768.06,76.39751552795029
2008-04-01,5.34,1030.0,75.48387096774191
2008-04-02,5.27,1040.0,74.52229299363053
2008-04-03,5.41,1050.0,75.60975609756093
2008-04-04,5.47,854.78,78.78787878787877
2008-04-07,5.57,1160.0,79.88505747126435
