date,close,v,RSI
2008-01-22,82.45,49.62,19.814410480349338
2008-01-23,83.45,47.42,23.964803312629385
2008-01-24,86.0,31.19,31.832946635730863
2008-01-25,83.94,28.24,31.381518755718204
2008-01-28,85.13,23.69,36.2776025236593
2008-01-29,85.08,22.49,38.20598006644518
2008-01-30,85.28,24.14,34.109311740890675
2008-01-31,86.4,32.97,37.34359961501446
2008-02-01,85.95,28.44,39.05385002516358
2008-02-04,85.44,18.84,36.42317380352645
2008-02-05,82.11,30.6,33.832475432849805
2008-02-06,81.44,29.22,36.98209718670077
2008-02-07,81.89,26.61,44.188722669735334
2008-02-08,81.71,24.18,39.71934106162294
2008-02-11,83.22,22.7,52.52128356254091
2008-02-12,84.38,25.15,53.013609850939694
2008-02-13,85.49,21.55,48.177269478198696
2008-02-14,85.55,21.83,56.713928273561294
2008-02-15,85.37,23.97,51.09289617486343
2008-02-19,87.01,22.6,57.67700875099445
2008-02-20,88.1,24.73,60.475482912332815
2008-02-21,86.92,30.11,51.923076923076906
2008-02-22,87.17,23.49,54.57957957957958
2008-02-25,89.13,23.88,62.49153689911984
2008-02-26,89.89,21.33,81.88524590163938
2008-02-27,89.39,20.33,83.04239401496264
2008-02-28,89.38,25.0,82.3123382226057
2008-02-29,87.01,26.54,69.23076923076931
2008-03-03,87.75,23.19,67.40968485780175
2008-03-04,86.69,30.37,58.94655305964371
2008-03-05,87.19,30.84,56.910569105691096
2008-03-06,84.51,28.98,46.514745308311014
2008-03-07,82.49,30.75,41.40811455847252
2008-03-10,82.46,32.96,34.98349834983492
2008-03-11,86.68,34.84,46.11597374179435
2008-03-12,85.97,26.62,47.33295901179112
2008-03-13,87.05,29.35,49.67811158798282
2008-03-14,85.91,35.74,40.965207631874314
2008-03-17,85.79,39.03,38.06752037252622
2008-03-18,88.47,33.34,47.62396694214876
2008-03-19,84.43,35.08,39.41855493800771
2008-03-20,85.0,44.96,45.34506716072254
2008-03-24,85.95,22.34,45.87155963302753
2008-03-25,85.2,27.08,46.53327128897162
2008-03-26,86.26,23.03,47.89115646258505
2008-03-27,86.2,21.76,54.3489449305198
2008-03-28,85.22,21.67,57.42251223491029
2008-03-31,84.58,36.85,55.57894736842106
2008-04-01,87.02,23.96,50.987224157955836
2008-04-02,88.52,23.24,57.07940033314825
2008-04-03,88.23,20.08,53.426248548199794
2008-04-04,88.74,18.61,58.52923447860158
2008-04-07,88.92,19.59,59.39939939939939
2008-04-08,89.61,15.83,53.8881309686221
2008-04-09,89.7,21.92,74.60317460317461
2008-04-10,89.55,21.77,72.10884353741494
2008-04-11,88.62,17.92,62.999026290165546
2008-04-14,89.7,19.61,71.22641509433963
2008-04-15,90.8,19.5,71.3345864661654
2008-04-16,92.89,26.87,76.40094711917918
2008-04-17,93.38,22.89,83.49753694581285
2008-04-18,94.0,25.91,88.73355263157902
2008-04-21,94.26,17.25,86.27254509018044
2008-04-22,94.39,20.72,84.08826945412319
2008-04-23,94.22,23.94,85.27679623085983
2008-04-24,92.6,23.54,70.10416666666664
2008-04-25,92.46,23.37,68.5146443514644
2008-04-28,92.45,17.32,65.99099099099102
2008-04-29,91.79,29.46,61.058201058201085
2008-04-30,93.07,29.78,66.63516068052934
2008-05-01,89.7,43.68,54.14746543778803
2008-05-02,89.61,27.51,49.62593516209475
2008-05-05,89.51,21.28,44.152311876699926
2008-05-06,90.07,28.06,35.157894736841996
2008-05-07,88.82,27.58,27.777777777777686
2008-05-08,89.93,24.33,31.06976744186045
2008-05-09,88.82,24.06,26.551724137930947
2008-05-12,89.19,23.05,28.040540540540505
2008-05-13,89.68,21.16,31.332236842105303
2008-05-14,89.91,24.18,37.51160631383471
2008-05-15,91.3,28.39,45.174708818635615
2008-05-16,92.67,29.84,50.82212257100149
2008-05-19,94.36,25.2,58.917418459403166
2008-05-20,94.56,26.9,55.5888972243061
2008-05-21,93.67,43.22,68.294930875576
2008-05-22,92.51,32.04,62.164429530201346
2008-05-23,90.7,25.35,54.365370506236225
2008-05-27,89.8,25.89,49.033643521832516
2008-05-28,90.43,22.32,56.029962546816506
2008-05-29,89.35,24.69,47.822822822822786
2008-05-30,88.76,27.13,49.76562500000005
2008-06-02,87.81,25.96,44.84304932735429
2008-06-03,85.71,31.49,36.757838559039335
2008-06-04,85.75,34.11,35.945945945945994
2008-06-05,89.31,30.27,44.13671184443138
2008-06-06,86.79,34.33,33.77483443708613
2008-06-09,89.07,24.23,35.86317477284874
2008-06-10,87.89,27.28,33.06246825799899
2008-06-11,88.61,24.09,37.03893442622951
2008-06-12,87.06,32.26,36.31341034655951
2008-06-13,88.36,21.05,43.96907216494845
2008-06-16,87.99,18.5,45.204027556968725
2008-06-17,88.62,22.03,45.204027556968725
2008-06-18,87.83,23.5,45.90958019375674
2008-06-19,85.79,26.6,42.586120818771846
2008-06-20,84.91,36.19,42.735470941883754
2008-06-23,87.7,23.6,54.818401937046026
2008-06-24,86.92,21.59,52.734922861150075
2008-06-25,87.6,27.12,45.380875202593174
2008-06-26,86.41,26.34,48.894062863795085
2008-06-27,86.55,28.28,41.62234042553193
2008-06-30,88.13,26.94,50.77720207253884
2008-07-01,88.35,26.03,49.12985274431056
2008-07-02,87.41,34.28,51.22121423586879
2008-07-03,88.27,23.13,49.67602591792655
2008-07-07,86.95,29.64,46.49595687331539
2008-07-08,85.94,35.91,41.19579500657027
2008-07-09,84.31,29.08,39.04109589041096
2008-07-10,86.06,30.95,50.85605580215598
2008-07-11,85.48,29.44,51.84227537168716
2008-07-14,85.42,21.55,41.0518053375196
2008-07-15,82.19,34.41,34.4305464121132
2008-07-16,80.81,40.42,28.634361233480178
2008-07-17,80.33,39.19,29.973649538866923
2008-07-18,81.54,36.14,34.584615384615404
2008-07-21,82.98,24.81,34.016139044072034
2008-07-22,82.86,27.91,32.854465958775776
2008-07-23,80.99,31.08,31.05076741440378
2008-07-24,80.8,36.79,27.04363859864783
2008-07-25,81.7,27.55,33.43848580441643
2008-07-28,80.68,24.02,33.41740226986133
2008-07-29,80.9,25.87,38.200692041522515
2008-07-30,84.38,36.41,44.80840543881333
2008-07-31,80.43,40.88,37.084398976982115
2008-08-01,79.72,28.77,35.89108910891089
2008-08-04,76.6,37.89,36.08760577401692
2008-08-05,78.35,40.09,43.9882697947214
2008-08-06,78.33,30.79,45.00000000000001
2008-08-07,77.44,25.35,39.58333333333331
2008-08-08,78.72,29.32,39.08811475409834
2008-08-11,78.16,24.57,38.22645290581161
2008-08-12,76.88,26.01,39.39081053175013
