date,close,v,RSI,OT
2009-03-19,68.33,38.6,51.08531044926803,1
2009-03-20,66.09,67.26,53.09548793284365,1
2009-03-23,70.53,51.75,63.44226579520696,0
2009-03-24,69.35,32.11,58.04471722928536,0
2009-03-25,70.16,36.74,69.69246031746029,0
2009-03-26,71.23,37.73,68.53759011328525,0
2009-03-27,69.98,29.51,63.43765524093393,1
2009-03-30,68.63,32.21,53.32261521972131,1
2009-03-31,68.1,41.13,56.63062037564028,1
2009-04-01,69.23,39.38,56.00461893764432,0
2009-04-02,70.25,38.16,58.33788955713502,0
2009-04-03,70.44,26.71,59.50684931506848,0
2009-04-06,70.05,27.19,52.90556900726389,0
2009-04-07,68.71,28.04,48.70641169853766,0
2009-04-08,68.96,26.02,51.83246073298427,0
2009-04-09,69.84,26.87,61.84459886291848,0
2009-04-13,68.02,27.91,40.499621498864514,0
2009-04-14,67.7,32.7,43.31983805668022,0
2009-04-15,68.14,24.55,41.56928213689486,0
2009-04-16,67.41,27.92,33.59106529209622,0
2009-04-17,66.75,32.61,35.3846153846154,0
2009-04-20,65.29,31.88,35.03584229390688,1
2009-04-21,66.23,32.24,41.91875540190152,0
2009-04-22,64.75,31.08,31.208053691275158,1
2009-04-23,65.71,29.22,30.860033726812787,1
2009-04-24,66.57,32.35,34.55706304868315,1
2009-04-27,66.13,26.59,34.41971383147853,1
2009-04-28,67.08,27.42,43.31419196062348,1
2009-04-29,68.44,28.97,48.0451127819549,0
2009-04-30,66.67,35.09,38.83016208597602,1
2009-05-01,68.01,27.39,49.96353026987604,1
2009-05-04,68.2,27.31,51.840942562592055,1
2009-05-05,67.65,20.0,48.21037253469687,1
2009-05-06,68.58,30.81,54.21166306695466,1
2009-05-07,68.93,32.55,58.02650957290136,1
2009-05-08,70.8,35.89,69.69263759828448,0
2009-05-11,69.27,23.72,60.42524005486967,0
2009-05-12,70.82,28.34,70.71672354948807,0
2009-05-13,69.77,26.01,63.77204884667574,1
2009-05-14,69.76,21.3,61.48308135349178,0
2009-05-15,69.11,26.71,60.56737588652485,0
2009-05-18,70.5,25.07,61.76066024759287,0
2009-05-19,70.52,20.85,57.87878787878788,0
2009-05-20,69.61,28.55,61.91247974068072,0
2009-05-21,68.39,24.03,51.55482815057282,1
2009-05-22,68.83,18.62,52.52606255012028,1
2009-05-26,69.81,29.41,58.372093023255815,1
2009-05-27,68.3,23.02,48.961424332344215,1
2009-05-28,69.23,27.8,51.06685633001422,1
2009-05-29,69.35,33.19,44.11047928513402,1
2009-06-01,71.76,31.81,59.43896891584538,1
2009-06-02,72.92,28.68,58.20312500000004,1
2009-06-03,72.08,29.76,59.173947577442426,1
2009-06-04,72.98,25.94,61.94362017804153,1
2009-06-05,72.97,26.48,65.03115264797506,1
2009-06-08,73.17,23.3,61.45922746781115,1
2009-06-09,73.12,21.94,61.13013698630138,0
2009-06-10,73.84,27.36,68.40731070496082,0
2009-06-11,74.05,30.86,77.00381679389307,0
2009-06-12,73.78,21.7,74.00581959262848,0
2009-06-15,72.81,27.87,64.5631067961165,0
2009-06-16,71.63,24.22,66.70010030090268,0
2009-06-17,71.42,29.93,61.837837837837824,0
2009-06-18,71.44,20.73,61.42076502732242,0
2009-06-19,71.05,42.77,45.02103786816264,0
2009-06-22,68.84,28.4,25.061124694376502,1
2009-06-23,68.95,24.15,28.993288590604024,1
2009-06-24,68.45,20.86,17.87234042553183,1
2009-06-25,69.88,30.9,31.75914994096803,1
2009-06-26,69.05,27.66,27.36263736263726,0
2009-06-29,70.58,24.36,37.99621928166346,0
2009-06-30,69.91,27.34,31.339031339031266,0
2009-07-01,70.56,22.55,34.092980856882406,0
2009-07-02,68.49,22.95,29.28739232576348,0
2009-07-06,68.1,29.78,30.680885972108257,0
2009-07-07,66.56,25.06,29.800796812749,0
2009-07-08,66.26,30.05,29.588607594936704,0
2009-07-09,65.97,22.78,28.814872192099145,1
2009-07-10,65.12,25.92,27.823485415108465,1
2009-07-13,65.7,31.66,36.62691652470186,1
2009-07-14,66.22,22.88,38.76543209876541,1
2009-07-15,68.44,29.66,49.9639509733237,1
2009-07-16,68.46,23.55,44.30176565008025,1
2009-07-17,68.52,25.79,47.73310521813515,1
2009-07-20,68.94,21.28,42.24952741020794,1
2009-07-21,70.47,25.95,52.44755244755246,1
2009-07-22,69.99,24.78,47.47116237799464,1
2009-07-23,71.61,27.12,64.41774491682074,0
2009-07-24,72.29,18.19,68.85688568856891,0
2009-07-27,72.75,17.36,80.85742771684943,0
2009-07-28,71.89,23.04,76.58168083097259,0
2009-07-29,71.43,24.1,75.37174721189598,0
2009-07-30,70.72,37.85,76.36534839924667,0
2009-07-31,70.39,28.07,72.6133076181292,0
2009-08-03,70.65,24.76,71.90900098911969,0
2009-08-04,70.6,18.61,63.60201511335006,0
2009-08-05,70.03,20.35,59.24617196702004,0
2009-08-06,69.73,17.37,56.93012600229098,0
2009-08-07,69.47,18.04,53.09218203033839,0
2009-08-10,69.18,16.24,41.20054570259216,0
2009-08-11,68.13,16.95,38.22784810126585,0
2009-08-12,69.11,19.18,32.78236914600555,0
2009-08-13,68.75,20.24,24.49567723342939,0
2009-08-14,68.21,19.23,17.66381766381774,1
2009-08-17,66.55,24.34,15.856777493606202,1
2009-08-18,66.49,21.53,16.711590296496013,1
2009-08-19,68.0,28.44,33.45498783454994,1
2009-08-20,68.59,17.25,39.38679245283024,1
2009-08-21,69.92,26.17,46.178010471204175,1
2009-08-24,71.3,25.6,53.21691176470589,0
2009-08-25,70.68,21.18,52.97346752058557,0
2009-08-26,71.37,18.78,57.24381625441696,0
2009-08-27,70.86,21.4,56.00691443388072,0
2009-08-28,70.12,17.72,53.91014975041596,0
2009-08-31,69.15,24.34,54.27135678391964,1
2009-09-01,68.41,24.38,47.008547008547,1
2009-09-02,68.18,16.32,47.53673292999138,1
2009-09-03,68.26,15.16,50.22502250225028,1
2009-09-04,69.18,15.16,62.68081002892966,1
2009-09-08,70.65,21.97,67.65704584040753,0
2009-09-09,70.5,19.65,61.996161228406926,0
2009-09-10,70.65,19.18,60.32064128256516,0
2009-09-11,69.98,17.47,50.32188841201719,0
2009-09-14,70.0,17.48,41.83417085427137,0
2009-09-15,69.49,19.48,42.42038216560503,1
2009-09-16,70.34,22.16,43.57053682896381,0
2009-09-17,69.84,20.99,43.62500000000004,0
2009-09-18,69.99,43.25,49.12280701754379,0
2009-09-21,69.57,17.98,53.06122448979583,0
2009-09-22,69.83,14.56,61.12852664576802,0
2009-09-23,69.0,20.9,55.8739255014326,1
2009-09-24,68.93,21.56,54.80631276901005,0
2009-09-25,68.7,16.46,46.17834394904457,0
2009-09-28,69.59,13.3,40.70175438596492,0
2009-09-29,69.07,14.7,38.22075782537066,0
2009-09-30,68.61,27.12,34.01253918495294,1
2009-10-01,67.27,24.93,30.78014184397161,1
2009-10-02,66.58,20.48,27.849740932642504,1
2009-10-05,67.58,21.86,38.36784409257007,1
2009-10-06,68.66,21.17,40.04739336492887,1
2009-10-07,68.67,15.3,42.641509433962256,1
2009-10-08,69.05,19.23,44.25427872860637,1
2009-10-09,69.27,13.54,48.12030075187972,1
2009-10-12,70.13,16.23,51.74825174825173,1
2009-10-13,70.26,19.34,57.99492385786804,1
2009-10-14,71.84,25.29,65.49520766773159,1
2009-10-15,72.94,24.1,70.66276803118905,1
2009-10-16,73.12,23.56,68.48167539267014,1
2009-10-19,73.62,20.41,73.87198321091296,0
2009-10-20,73.02,20.05,72.80248190279208,1
2009-10-21,73.31,23.1,85.03480278422269,1
2009-10-22,74.44,26.02,93.37748344370851,0
2009-10-23,73.57,20.67,83.53863381858892,1
2009-10-26,73.23,27.13,77.89987789987791,0
2009-10-27,74.91,30.34,81.64300202839755,0
2009-10-28,73.84,26.36,72.7014218009479,0
2009-10-29,73.96,30.05,72.44019138755982,0
2009-10-30,71.67,32.18,56.48148148148152,1
2009-11-02,72.15,20.43,57.72690106295995,1
2009-11-03,71.74,20.55,49.54792043399634,1
2009-11-04,71.3,22.79,42.115384615384606,1
2009-11-05,72.5,16.24,47.28546409807353,1
2009-11-06,72.58,18.19,45.27272727272724,0
2009-11-09,72.85,16.81,49.20337394564198,0
2009-11-10,72.61,15.7,46.70433145009414,1
2009-11-11,72.91,14.4,42.18590398365676,1
2009-11-12,71.9,16.59,41.591137965760346,1
2009-11-13,72.47,14.46,46.259842519685,1
2009-11-16,74.43,21.33,47.70114942528741,0
2009-11-17,75.03,22.93,55.9679037111334,1
2009-11-18,75.27,16.65,56.49157581764125,1
2009-11-19,74.65,17.25,67.69596199524949,1
2009-11-20,74.38,19.27,63.58099878197317,1
2009-11-23,75.7,18.95,71.71052631578958,0
2009-11-24,75.97,17.12,76.08938547486042,1
2009-11-25,76.47,13.27,74.06060606060613,0
2009-11-27,74.87,12.11,61.719549641760565,1
2009-11-30,75.07,21.44,61.44329896907221,0
2009-12-01,76.04,17.38,66.4429530201343,0
2009-12-02,75.79,14.79,63.872832369942266,0
2009-12-03,74.99,17.85,65.1917404129793,0
2009-12-04,74.25,23.7,58.607350096711805,0
2009-12-07,73.77,17.84,46.27539503385998,0
2009-12-08,72.95,18.49,38.54625550660793,0
2009-12-09,72.79,17.23,36.22222222222228,0
2009-12-10,72.4,23.43,37.17217787913343,0
2009-12-11,72.83,17.13,41.32138857782756,0
2009-12-14,69.69,91.46,22.04651162790691,0
2009-12-15,69.17,54.43,19.090909090909065,0
2009-12-16,68.43,57.71,14.23487544483983,1
2009-12-17,68.22,46.63,16.243654822334975,1
2009-12-18,68.21,62.99,14.492753623188449,1
2009-12-21,68.51,34.48,8.120133481646306,1
2009-12-22,68.57,27.95,8.977272727272634,1
2009-12-23,68.26,18.96,9.506618531889217,1
2009-12-24,68.66,8.15,14.930991217063834,0
2009-12-28,69.08,19.7,20.35398230088485,1
2009-12-29,68.84,19.99,21.96452933151421,1
2009-12-30,68.77,19.86,22.23756906077334,1
2009-12-31,68.19,18.85,21.66890982503351,1
2010-01-04,69.15,27.81,26.88442211055279,1
2010-01-05,69.42,30.18,47.34774066797646,1
2010-01-06,70.02,35.05,58.220502901353925,0
2010-01-07,69.8,27.19,64.73118279569886,0
2010-01-08,69.52,24.9,63.77118644067798,1
2010-01-11,70.3,30.68,69.03460837887077,0
2010-01-12,69.95,31.5,62.99638989169682,0
2010-01-13,69.67,24.88,59.54861111111122,0
2010-01-14,69.68,18.64,63.00366300366304,0
2010-01-15,69.11,29.41,53.996447602131454,0
2010-01-19,69.27,26.09,51.76908752327745,0
2010-01-20,68.03,34.63,43.64207221350077,0
2010-01-21,66.7,39.12,36.43512450851904,0
